location,Базель,Базель,Базель,Базель
lat,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Базель Temperature [2 m elevation corrected],Базель Relative Humidity [2 m],Базель Wind Speed [10 m],Базель Wind Direction [10 m]
20220106T1500,4.3305287,70.0,11.841756,340.46335
20220106T1600,4.1505284,70.0,12.413476,343.1416
20220106T1700,3.2305286,75.0,8.209263,344.74487
20220106T1800,2.6205285,78.0,4.68,360.0
20220106T1900,1.8705287,81.0,3.8268526,41.18593
20220106T2000,1.3905287,82.0,2.0991426,239.03624
20220106T2100,1.5505286,82.0,4.8965297,233.97263
20220106T2200,1.5905286,82.0,4.39436,214.99202
20220106T2300,-0.009471342,84.0,6.151683,200.55605
20220107T0000,-0.6694713,82.0,5.937272,194.03624
20220107T0100,-0.7494713,83.0,4.1046314,195.25513
20220107T0200,-0.70947134,82.0,3.6179552,174.28941
20220107T0300,-0.6194713,83.0,2.5455842,135.0
20220107T0400,-0.68947136,85.0,2.8116899,129.80557
20220107T0500,-0.32947135,82.0,1.9386592,158.1986
20220107T0600,-0.43947133,83.0,0.5091169,225.0
20220107T0700,-0.6094713,84.0,3.319036,229.39871
20220107T0800,-0.32947135,81.0,6.1305785,229.76364
20220107T0900,1.2305287,73.0,10.464797,243.43495
20220107T1000,2.5105286,67.0,21.2522,243.869
20220107T1100,3.5205286,60.0,27.155552,255.41107
20220107T1200,4.0705285,58.0,26.141552,247.31944
20220107T1300,3.6805286,67.0,19.211996,257.00537
20220107T1400,3.7705286,75.0,19.09358,225.7639
20220107T1500,3.6005285,81.0,18.947083,255.69974
20220107T1600,3.1405284,85.0,19.930477,249.92847
20220107T1700,2.6305285,85.0,25.842384,251.31265
20220107T1800,2.8005285,80.0,28.019936,249.70242
20220107T1900,2.8205285,79.0,26.944744,247.20349
20220107T2000,2.6405284,82.0,29.620802,249.36246
20220107T2100,2.5505285,84.0,29.275326,253.57071
20220107T2200,2.5105286,85.0,24.379204,253.70596
20220107T2300,2.6305285,84.0,19.33639,245.82089
20220108T0000,2.1005285,82.0,16.08761,220.46222
20220108T0100,2.9405286,76.0,17.884428,229.8991
20220108T0200,3.3005285,74.0,13.854155,204.56717
20220108T0300,2.2805285,78.0,42.730953,230.81248
20220108T0400,3.2105286,82.0,51.82625,249.67686
20220108T0500,2.6305285,83.0,45.685966,257.71603
20220108T0600,2.4205287,86.0,42.63227,265.156
20220108T0700,1.1505287,88.0,42.084602,280.3487
20220108T0800,0.030528657,90.0,44.055527,281.30994
20220108T0900,0.15052865,87.0,34.786133,276.53662
20220108T1000,1.1005287,83.0,32.431984,267.4552
20220108T1100,2.2205286,73.0,28.202042,255.96376
20220108T1200,3.4705286,66.0,21.659918,254.57785
20220108T1300,6.4105287,54.0,21.915693,255.73549
20220108T1400,6.9605284,47.0,23.906818,251.56506
20220108T1500,6.9005284,47.0,22.55106,253.30075
20220108T1600,6.7405286,55.0,22.180206,234.24612
20220108T1700,5.6605287,67.0,24.967497,222.66269
20220108T1800,5.4505286,68.0,28.856194,229.55377
20220108T1900,4.9105287,72.0,34.63492,226.6847
20220108T2000,4.8305287,71.0,36.424103,222.99747
20220108T2100,4.9505286,68.0,39.28456,221.28471
20220108T2200,5.2205286,69.0,48.262825,220.46222
20220108T2300,5.7405286,69.0,51.34892,220.16559
20220109T0000,5.6805286,69.0,59.066338,224.01224
20220109T0100,6.4205284,72.0,63.93219,242.13628
20220109T0200,5.5305285,79.0,47.27528,253.63509
20220109T0300,4.0805287,80.0,50.73957,254.78055
20220109T0400,2.2105286,87.0,48.965294,270.84253
20220109T0500,3.3505285,86.0,44.456722,275.1104
20220109T0600,3.1205285,86.0,42.420467,276.82346
20220109T0700,2.9305286,86.0,38.202427,272.70062
20220109T0800,2.5405285,87.0,32.431984,267.4552
20220109T0900,2.9405286,85.0,30.018473,264.4945
20220109T1000,3.8805285,82.0,29.539747,267.90475
20220109T1100,4.7805285,78.0,29.888672,268.61966
20220109T1200,4.9105287,76.0,27.595823,277.49585
20220109T1300,5.0105286,72.0,21.746504,276.65442
20220109T1400,5.5805287,69.0,20.633371,276.009
20220109T1500,5.290529,71.0,19.083395,268.91907
20220109T1600,4.9605284,74.0,16.394829,261.1582
20220109T1700,3.9205287,83.0,13.009903,255.57922
20220109T1800,3.1305285,87.0,8.557102,255.37914
20220109T1900,2.1405284,90.0,9.793058,252.89728
20220109T2000,2.3505285,91.0,7.289444,290.22485
20220109T2100,2.0305285,92.0,8.311245,287.65012
20220109T2200,1.7205287,93.0,10.24578,288.43494
20220109T2300,1.9405286,93.0,10.182337,315.0
20220110T0000,1.8105286,94.0,13.18308,325.008
20220110T0100,1.5605286,93.0,12.599998,323.13013
20220110T0200,2.2005286,83.0,16.595179,347.4712
